Date;Price;Ticker
31/01/2023;111,47;URTH
01/02/2023;112,64;URTH
02/02/2023;113,78;URTH
03/02/2023;112,57;URTH
06/02/2023;111,75;URTH
07/02/2023;113,03;URTH
08/02/2023;111,97;URTH
09/02/2023;111,29;URTH
10/02/2023;111,3;URTH
13/02/2023;112,54;URTH
14/02/2023;112,68;URTH
15/02/2023;112,84;URTH
16/02/2023;111,61;URTH
17/02/2023;111,35;URTH
21/02/2023;109,44;URTH
22/02/2023;109,19;URTH
23/02/2023;109,72;URTH
24/02/2023;108,27;URTH
27/02/2023;108,95;URTH
28/02/2023;108,58;URTH
01/03/2023;108,44;URTH
02/03/2023;109,06;URTH
03/03/2023;110,76;URTH
06/03/2023;110,72;URTH
07/03/2023;108,96;URTH
08/03/2023;109,22;URTH
09/03/2023;107,51;URTH
10/03/2023;105,98;URTH
13/03/2023;105,68;URTH
14/03/2023;107,29;URTH
15/03/2023;105,78;URTH
16/03/2023;107,54;URTH
17/03/2023;106,28;URTH
20/03/2023;107,44;URTH
21/03/2023;108,97;URTH
22/03/2023;107,56;URTH
23/03/2023;107,74;URTH
24/03/2023;108,05;URTH
27/03/2023;108,56;URTH
28/03/2023;108,48;URTH
